Serial Number,Station Name,Station Id,Network,Elevation(meter),Latitude,Longitude,Wind Speed(m/s),Air Temperature(C),Start Date,Precipitation for 1 day,Precipitation for 2 days,Precipitation for 3 days,Precipitation for 4 days,Precipitation for 5 days,sm_2,sm_4,sm_8,sm_20,sm_40,st_2,st_4,st_8,st_20,st_40
46,Gardner Peak,1066,SNTL,2536.5456,37.40083,-113.45988,-999999,9.722222222222221,2017-09-20 00:00:00,0.0,0.0,0.0,0.0,0.0,0.083,-999999,0.076,0.046,-999999,10.56,-999999,12.22,11.67,-999999
47,GBRC HQ,1221,SNTL,2682.5448,39.32019,-111.48827,-999999,2.1111111111111094,2017-09-20 00:00:00,0.0,0.0,0.0,2.540000000000036,17.780000000000072,0.212,-999999,0.295,0.24600000000000002,-999999,7.78,-999999,10.56,10.56,-999999
48,GBRC Meadows,1222,SNTL,3004.7184,39.30229,-111.45383,-999999,2.2777777777777786,2017-09-20 00:00:00,0.0,0.0,0.0,5.079999999999892,25.4,0.25,-999999,0.268,0.218,-999999,3.33,-999999,8.33,8.89,-999999
49,George Creek,1151,SNTL,2732.2272000000003,41.91562,-113.41154,-999999,-0.7222222222222227,2017-09-20 00:00:00,2.540000000000036,5.080000000000072,5.080000000000072,5.080000000000072,10.160000000000144,0.07200000000000001,-999999,0.111,0.09,-999999,2.78,-999999,6.67,8.89,-999999
50,Gooseberry RS,495,SNTL,2421.3312,38.80034,-111.68333,-999999,2.6111111111111125,2017-09-20 00:00:00,0.0,0.0,2.540000000000036,2.540000000000036,12.7,0.175,-999999,0.27699999999999997,0.27399999999999997,-999999,7.22,-999999,11.67,12.22,-999999
51,Gooseberry RS Up,1184,SNTL,2559.1008,38.7882,-111.68892,-999999,2.999999999999999,2017-09-20 00:00:00,0.0,0.0,0.0,0.0,10.159999999999963,0.302,-999999,0.21600000000000003,0.222,-999999,8.33,-999999,11.11,12.22,-999999
52,Gutz Peak,1065,SNTL,2061.3624,37.49617,-113.94235,-999999,13.277777777777779,2017-09-20 00:00:00,0.0,0.0,0.0,0.0,2.539999999999946,0.18100000000000002,-999999,0.205,0.08900000000000001,-999999,12.22,-999999,13.89,13.89,-999999
53,Hardscrabble,896,SNTL,2209.8,40.86833,-111.71865,-999999,3.111111111111112,2017-09-20 00:00:00,10.160000000000144,12.7,12.7,15.240000000000036,48.26000000000014,0.161,-999999,0.252,0.157,-999999,7.78,-999999,8.89,9.44,-999999
54,Harris Flat,514,SNTL,2375.0016,37.48997,-112.57602,-999999,10.61111111111111,2017-09-20 00:00:00,0.0,0.0,0.0,0.0,0.0,0.25,-999999,0.25,-999999,-999999,13.33,-999999,13.89,-999999,-999999
55,Hayden Fork,517,SNTL,2782.824,40.79669,-110.88472,-999999,-1.6111111111111103,2017-09-20 00:00:00,22.859999999999964,22.859999999999964,22.859999999999964,25.4,68.57999999999988,0.34700000000000003,-999999,0.21899999999999997,0.11199999999999999,-999999,5.56,-999999,8.89,10.0,-999999
56,Hewinta,521,SNTL,2895.6000000000004,40.95009,-110.48419,-999999,-2.2222222222222223,2017-09-20 00:00:00,15.240000000000036,15.240000000000036,15.240000000000036,17.77999999999998,27.940000000000033,0.125,-999999,0.113,0.094,-999999,3.89,-999999,6.67,8.33,-999999
57,Hickerson Park,522,SNTL,2780.3856,40.90663,-109.96287,-999999,-0.3888888888888885,2017-09-20 00:00:00,0.0,2.540000000000036,2.540000000000036,2.540000000000036,10.160000000000053,0.184,-999999,0.265,0.221,-999999,4.44,-999999,7.78,9.44,-999999
58,Hobble Creek,1223,SNTL,2248.5096000000003,40.18538,-111.35971,-999999,2.7222222222222214,2017-09-20 00:00:00,2.540000000000036,2.540000000000036,2.540000000000036,2.540000000000036,20.320000000000107,0.067,-999999,0.105,0.242,-999999,6.11,-999999,11.67,13.33,-999999
59,Hole-in-Rock,528,SNTL,2794.4064000000003,40.92167,-110.18623,-999999,0.9999999999999984,2017-09-20 00:00:00,7.620000000000018,10.160000000000053,10.160000000000053,10.160000000000053,17.77999999999998,0.221,-999999,0.13699999999999998,0.13,-999999,5.0,-999999,6.67,7.78,-999999
