"","snow.LONGITUDE","snow.LATITUDE","snow.ELEVATION","snow.YRS","snow.HUC","snow.TD","snow.FFP","snow.MCMT","snow.MWMT","snow.PPTWT","snow.RH","snow.MAT","model$prediction"
"41",-112.02,38.51,2996,38,16030002,22.5,74,-6.40000009536743,16,195,54,3.59999990463257,8.85911428571429
"42",-112.847,37.693,2978,21,16030006,20.1000003814697,71,-7.09999990463257,13,253,60,2,9.15793333333333
"43",-112.044,41.52,1289,32,16010204,28.1000003814697,159,-4.30000019073486,23.7999992370605,123,55,9.60000038146973,1.58266666666667
"44",-112.067,36.214,2560,41,15010001,20.7000007629395,112,-2.70000004768372,18,223,53,6.90000009536743,8.85911428571429
"45",-111.58,40.6,2667,31,16020204,22.7000007629395,83,-7,15.6999998092651,335,60,3.09999990463257,9.64516666666667
"46",-110.59,40.58,3231,39,14060003,22.2999992370605,32,-10.3999996185303,11.8999996185303,228,45,-0.200000002980232,8.27194117647059
"47",-108.917,40.8,1632,16,14040106,27.5,116,-6,21.5,29,44,7.80000019073486,2.14530555555556
"48",-112.15,37.7,2313,13,16030002,22.8999996185303,77,-5.30000019073486,17.6000003814697,80,46,5.40000009536743,5.1168
"49",-112.168,37.641,2412,43,16030002,22.7999992370605,75,-5.59999990463257,17.2000007629395,95,47,5,8.85911428571429
"50",-111.44,39.13,2874,39,14060009,21.3999996185303,56,-7.30000019073486,14.1000003814697,234,52,2.5,8.85911428571429
"51",-109.597,41.247,1853,15,14040106,26.6000003814697,109,-6,20.6000003814697,24,47,6.80000019073486,1.99766666666667
"52",-111.42,41.68,2423,39,16010201,23.7999992370605,75,-7.09999990463257,16.7000007629395,255,55,3.70000004768372,8.85911428571429
"53",-110.72,37.53,1165,29,14070001,28.6000003814697,201,0.5,29.2000007629395,33,57,14.8000001907349,0.782
"54",-113.767,42.539,1267,30,17040209,25.2999992370605,128,-3.70000004768372,21.6000003814697,69,52,8.5,1.58266666666667
"55",-114.517,37.617,1341,29,15010013,23.5,163,1.20000004768372,24.7000007629395,57,47,12.3000001907349,1.14695833333333
"56",-113.713,39.9,1320,33,16020306,27.2000007629395,148,-3,24.2000007629395,24,49,10.1000003814697,1.32391304347826
"57",-112.667,40.683,1299,12,16020305,27.6000003814697,162,-2.40000009536743,25.2000007629395,58,54,10.6999998092651,1.14695833333333
"58",-109.49,37.81,2733,32,14080201,22.2000007629395,109,-5.5,16.7000007629395,198,59,4.80000019073486,7.5469375
"59",-109.533,36.15,1710,31,14080204,25.0731235347129,114.774818401937,-5.02058112410238,20.052058141399,125.731234866828,50.9467312348668,7.00435835353976,3.462375
"60",-109.821,38.455,1807,43,14030005,29.1000003814697,177,-2.70000004768372,26.3999996185303,35,55,12,0.782
"61",-109.782,38.151,1525,40,14030005,28.3999996185303,168,-2.79999995231628,25.6000003814697,34,51,11.5,0.782
"62",-111.267,38.283,1676,40,14070003,26.3999996185303,152,-3.20000004768372,23.2000007629395,26,52,9.80000019073486,1.47084375
"63",-111.61,40.28,2370,15,16020203,24.5,122,-5.30000019073486,19.2000007629395,206,59,6.19999980926514,5.1168
"64",-111.015,39.208,1713,36,14060009,27.7000007629395,130,-5.5,22.2000007629395,40,47,8.60000038146973,1.50295652173913
