"","sm_8","elev","wind","p1day","p2day","p3day","p4day","p5day","slope","aspect","long","lat","prediction","resid","cv_predictions","cv_resid"
"51",0.216,2559.1008,-999999,0,0,0,0,10.16,7.27452129873387,348.215166499518,-111.68892,38.7882,0.160304569723766,0.0556954302762344,0.15244611124871,0.0635538887512899
"52",0.205,2061.3624,-999999,0,0,0,0,2.53999999999995,6.32000328836922,312.64528914307,-113.94235,37.49617,0.144064808624289,0.060935191375711,0.144359884791416,0.0606401152085837
"53",0.252,2209.8,-999999,10.1600000000001,12.7,12.7,15.24,48.2600000000001,14.7082350676891,262.552919559153,-111.71865,40.86833,0.123454363001745,0.128545636998255,0.121302333333333,0.130697666666667
"54",0.25,2375.0016,-999999,0,0,0,0,0,0.488048398144329,74.8993447089357,-112.57602,37.48997,0.166906743884754,0.0830932561152461,0.153891323296068,0.0961086767039324
"55",0.219,2782.824,-999999,22.86,22.86,22.86,25.4,68.5799999999999,13.2033799668674,107.823038821219,-110.88472,40.79669,0.242680473372781,-0.0236804733727811,0.241790933333333,-0.022790933333333
"56",0.113,2895.6,-999999,15.24,15.24,15.24,17.78,27.94,4.67974201067447,79.0557993590176,-110.48419,40.95009,0.263573278985507,-0.150573278985507,0.2652166,-0.1522166
"57",0.265,2780.3856,-999999,0,2.54000000000004,2.54000000000004,2.54000000000004,10.1600000000001,3.68328535935566,47.1201280885453,-109.96287,40.90663,0.204402502705628,0.0605974972943723,0.191358236996337,0.0736417630036632
"58",0.105,2248.5096,-999999,2.54000000000004,2.54000000000004,2.54000000000004,2.54000000000004,20.3200000000001,2.70833013591178,348.257421801877,-111.35971,40.18538,0.179488186813187,-0.0744881868131868,0.162104028571428,-0.0571040285714285
"59",0.137,2794.4064,-999999,7.62000000000002,10.1600000000001,10.1600000000001,10.1600000000001,17.78,7.62550819393992,357.699764698322,-110.18623,40.92167,0.159116483516483,-0.0221164835164835,0.158242366666667,-0.0212423666666667
"60",0.032,2499.0552,-999999,17.7800000000001,25.4,25.4,25.4,50.8,5.12826655628208,131.260224562874,-111.44624,41.31372,0.163970209339775,-0.131970209339775,0.170399333333333,-0.138399333333333
"61",0.349,2941.9296,-999999,0,0,0,0,35.56,6.04688842988731,342.701397570595,-111.30576,39.61774,0.25869695293504,0.0903030470649604,0.243779346933768,0.105220653066232
"62",0.102,2795.3208,-999999,0,0,0,0,17.7800000000001,7.26783208074509,38.4049088436912,-110.74604,39.89166,0.165903812155275,-0.0639038121552749,0.183117769735991,-0.0811177697359912
"63",0.148,2971.4952,-999999,0,0,0,0,5.07999999999998,5.99670788525458,315.507662095402,-112.16788,38.07125,0.179672889227167,-0.0316728892271673,0.171376233972373,-0.0233762339723731
"64",0.076,2200.656,-999999,10.1600000000001,15.24,15.24,15.24,27.94,3.10803924093729,74.6129862844264,-111.41249,41.24764,0.194091012216405,-0.118091012216405,0.1719572,-0.0959572
"65",0.337,2773.9848,-999999,0,0,0,0,15.2399999999999,9.92519519289198,343.411034323224,-112.39273,38.48383,0.172539410204439,0.164460589795561,0.161215094169095,0.175784905830905
"66",0.157,2660.2944,-999999,0,0,2.54000000000004,2.54000000000004,12.7,2.37777796648129,127.144456474851,-109.54401,40.71632,0.189946825396825,-0.0329468253968254,0.170704288888889,-0.0137042888888889
"67",0.23,2209.8,-999999,30.4800000000001,45.7200000000001,45.7200000000001,48.26,50.8,5.11309212008875,94.551189214745,-111.59713,41.96769,0.1921428125,0.0378571875,0.206900233333333,0.023099766666667
