"","sm_2","sm_4","sm_8","sm_20","sm_40","st_2","st_4","st_8","st_20","st_40","serial_number","station_name","station_id","network","elevation","lat","long","wind_speed","air_temp","start_date","p1day","p2day","p3day","p4day","p5day","raw_predictions","predictions"
"15",0.222,-999999,0.028,0.041,-999999,3.33,-999999,6.11,8.33,-999999,15,"Brighton",366,"SNTL",2671.8768,40.59936,-111.58167,-999999,0,2017-09-20,0,5.07999999999989,5.07999999999989,17.7799999999999,40.64,0.0945555555555556,"1"
"16",0.206,-999999,0.118,0.188,-999999,2.22,-999999,5.56,6.67,-999999,16,"Brown Duck",368,"SNTL",3222.9552,40.58102,-110.58587,-999999,-1,2017-09-20,5.07999999999989,5.07999999999989,5.07999999999989,7.61999999999993,17.7799999999999,0.0945555555555556,"1"
"17",0.361,-999999,0.371,0.4,-999999,7.22,-999999,10,9.44,-999999,17,"Buck Flat",371,"SNTL",2867.8632,39.134,-111.43722,-999999,6.22222222222222,2017-09-20,0,0,0,0,25.4,0.28,"12"
"18",0.424,-999999,0.42,0.417,-999999,5.56,-999999,7.22,7.78,-999999,18,"Buck Pasture",1192,"SNTL",2935.8336,40.84456,-110.66068,-999999,-2.27777777777778,2017-09-20,15.24,15.24,15.24,17.7799999999999,35.56,0.279,"11"
"19",0.245,-999999,0.247,0.186,-999999,8.33,-999999,9.44,10,-999999,19,"Buckboard Flat",1153,"SNTL",2720.0352,37.86943,-109.44717,-999999,11.2222222222222,2017-09-20,0,0,0,0,0,0.130888888888889,"4"
"20",0.203,-999999,0.178,0.196,-999999,4.44,-999999,7.22,10,-999999,20,"Bug Lake",374,"SNTL",2434.4376,41.68541,-111.41987,-999999,-0.88888888888889,2017-09-20,17.7800000000001,33.0200000000001,33.0200000000001,33.0200000000001,43.1800000000001,0.127142857142857,"3"
"21",0.344,-999999,0.297,0.407,-999999,6.67,-999999,9.44,10.56,-999999,21,"Burts Miller Ranch",1135,"SNTL",2438.4,40.98492,-110.85075,-999999,0.722222222222221,2017-09-20,12.7,12.7,12.7,17.78,30.48,0.127142857142857,"3"
"22",0.09,-999999,0.084,0.117,-999999,8.89,-999999,10,10,-999999,22,"Camp Jackson",383,"SNTL",2699.9184,37.81333,-109.48723,-999999,8.27777777777778,2017-09-20,0,0,0,0,0,0.130888888888889,"4"
"23",0.043,-999999,0.108,0.057,-999999,9.44,-999999,9.44,9.44,-999999,23,"Cascade Mountain",1039,"SNTL",2369.5152,40.283,-111.60992,-999999,5.11111111111111,2017-09-20,2.53999999999986,5.07999999999989,5.07999999999989,5.07999999999989,30.4799999999999,0.0945555555555556,"1"
"24",0.148,-999999,0.23,0.312,-999999,9.44,-999999,9.44,9.44,-999999,24,"Castle Valley",390,"SNTL",2928.2136,37.66098,-112.74093,-999999,6.77777777777778,2017-09-20,0,0,0,0,2.53999999999986,0.206714285714286,"10"
