"","sm_2","sm_4","sm_8","sm_20","sm_40","st_2","st_4","st_8","st_20","st_40","serial_number","station_name","station_id","network","elevation","lat","long","wind_speed","air_temp","start_date","p1day","p2day","p3day","p4day","p5day","raw_predictions","predictions"
"104",0.193,-999999,0.063,0.007,-999999,5.56,-999999,7.78,8.33,-999999,105,"Rocky Basin-Settleme",723,"SNTL",2652.9792,40.44293,-112.22377,-999999,0.777777777777777,2017-09-20,10.1600000000001,10.1600000000001,10.1600000000001,10.1600000000001,12.7,0.0945555555555556,"1"
"105",0.156,-999999,0.15,0.029,-999999,9.44,-999999,12.78,13.89,-999999,106,"Santaquin Meadows",1280,"SNTL",2388.108,39.92076,-111.71802,-999999,0.38888888888889,2017-09-20,0,2.53999999999986,2.53999999999986,2.53999999999986,20.3199999999999,0.0945555555555556,"1"
"106",0.231,-999999,0.156,0.046,-999999,5.56,-999999,8.33,8.89,-999999,107,"Seeley Creek",742,"SNTL",3018.7392,39.31042,-111.43297,5.632704,3.22222222222222,2017-09-20,0,0,0,0,20.32,0.28,"12"
"107",0.277,-999999,0.158,0.062,-999999,5.56,-999999,8.33,10,-999999,108,"Smith  Morehouse",763,"SNTL",2325.9288,40.78931,-111.09192,-999999,0.777777777777777,2017-09-20,17.78,17.78,17.78,20.32,35.5600000000001,0.190230769230769,"8"
"108",0.14,-999999,0.261,0.08,-999999,1.67,-999999,5.56,9.44,-999999,109,"Snowbird",766,"SNTL",2797.1496,40.56914,-111.65852,-999999,3,2017-09-20,15.2399999999999,15.2399999999999,15.2399999999999,22.86,53.3399999999999,0.0945555555555556,"1"
"109",0.336,-999999,0.213,0.143,-999999,4.44,-999999,6.11,6.67,-999999,110,"Spirit Lk",1117,"SNTL",3119.628,40.83868,-110.00527,-999999,0.499999999999999,2017-09-20,0,2.54000000000004,5.07999999999998,5.07999999999998,7.62000000000002,0.190230769230769,"8"
"110",0.374,-999999,0.355,0.267,-999999,2.78,-999999,3.89,5,-999999,111,"Steel Creek Park",790,"SNTL",3096.1584,40.90862,-110.50462,-999999,-1.77777777777778,2017-09-20,17.7799999999999,17.7799999999999,17.7799999999999,20.3199999999999,33.0199999999999,0.279,"11"
"111",0.123,-999999,0,0.029,-999999,5,-999999,10,10.56,-999999,112,"Strawberry Divide",795,"SNTL",2475.8904,40.16483,-111.20665,-999999,2.38888888888889,2017-09-20,0,0,0,0,17.7799999999999,0.0945555555555556,"1"
"112",0.212,-999999,0.091,0.123,-999999,3.33,-999999,6.67,6.67,-999999,113,"Sunflower Flat",1249,"SNTL",3053.4864,38.048,-111.33981,-999999,4.72222222222222,2017-09-20,0,0,0,0,0,0.192714285714286,"9"
"113",0.106,-999999,0.229,0.335,-999999,9.44,-999999,10.56,11.11,-999999,114,"Suu Ranch",1248,"SNTL",2453.64,37.59711,-112.92949,-999999,10.8888888888889,2017-09-20,0,2.54000000000004,2.54000000000004,2.54000000000004,2.54000000000004,0.206714285714286,"10"
"114",0.021,-999999,0.047,0.105,-999999,8.33,-999999,11.67,11.67,-999999,115,"Takka Wiiya",1247,"SNTL",2780.3856,39.74104,-113.98262,-999999,3.72222222222222,2017-09-20,2.54000000000004,2.54000000000004,2.54000000000004,2.54000000000004,2.54000000000004,0.119411764705882,"2"
"115",0.235,-999999,0.161,0.06,-999999,8.33,-999999,8.89,9.44,-999999,116,"Temple Fork",1013,"SNTL",2257.3488,41.793,-111.54605,-999999,0.38888888888889,2017-09-20,10.16,20.3199999999999,20.3199999999999,20.3199999999999,25.4,0.181441176470588,"7"
"116",0.046,-999999,0.051,0.09,-999999,5,-999999,7.22,8.89,-999999,117,"Thaynes Canyon",814,"SNTL",2813.304,40.6235,-111.53322,-999999,0.777777777777777,2017-09-20,17.7799999999999,40.64,40.64,40.64,60.96,0.0945555555555556,"1"
"117",0.364,-999999,0.278,0.35,-999999,12.22,-999999,12.22,12.22,-999999,118,"Thistle Flat",1226,"SNTL",2678.2776,39.23803,-111.51998,-999999,3.27777777777778,2017-09-20,0,0,0,0,30.48,0.28,"12"
"118",0.274,-999999,0.215,0.218,-999999,10,-999999,11.11,11.67,-999999,119,"Timberline",1097,"SNTL",2662.7328,39.67712,-110.43395,-999999,2.5,2017-09-20,0,0,0,0,12.7,0.130888888888889,"4"
"119",0.09,-999999,0.095,0.042,-999999,7.78,-999999,9.44,10,-999999,120,"Timpanogos Divide",820,"SNTL",2481.072,40.42817,-111.61633,-999999,0.999999999999998,2017-09-20,2.54000000000004,2.54000000000004,2.54000000000004,2.54000000000004,27.94,0.0945555555555556,"1"
"120",0.28,-999999,0.314,0.121,-999999,4.44,-999999,6.11,8.89,-999999,121,"Tony Grove Lake",823,"SNTL",2582.8752,41.89833,-111.62957,-999999,-1,2017-09-20,30.4800000000001,50.8,50.8,50.8,58.4199999999999,0.181441176470588,"7"
"121",0.172,-999999,0.088,0.049,-999999,7.78,-999999,11.67,12.78,-999999,122,"Tony Grove RS",1113,"SNTL",1929.9936,41.88573,-111.56918,-999999,-0.611111111111112,2017-09-20,17.7799999999999,22.86,22.86,22.86,27.94,0.181441176470588,"7"
"122",0.078,-999999,0.107,0.315,-999999,3.33,-999999,4.44,6.11,-999999,123,"Trial Lake",828,"SNTL",3045.5616,40.678,-110.94873,-999999,-2.88888888888889,2017-09-20,17.7800000000001,17.7800000000001,17.7800000000001,25.4,45.7200000000001,0.190230769230769,"8"
"123",0.116,-999999,0.183,0.237,-999999,4.44,-999999,6.67,8.33,-999999,124,"Trout Creek",833,"SNTL",2901.0864,40.739,-109.6728,-999999,2.88888888888889,2017-09-20,0,0,0,2.54000000000004,12.7,0.190230769230769,"8"
"124",0.149,-999999,0.149,0.076,-999999,6.67,-999999,8.89,9.44,-999999,125,"Upper Joes Valley",1227,"SNTL",2620.0608,39.4155,-111.2491,-999999,1.22222222222222,2017-09-20,0,0,0,2.53999999999995,15.2399999999999,0.130888888888889,"4"
"125",0.229,0.054,0.107,0.074,0.391,3.33,5.56,8.33,10,10.56,126,"Usu Doc Daniel",1098,"SNTL",2520.696,41.86425,-111.50603,-999999,-2.38888888888889,2017-09-20,17.7800000000001,25.4,25.4,27.9400000000002,30.4800000000001,0.181441176470588,"7"
"126",0.013,-999999,0.051,0,-999999,8.33,-999999,10.56,10.56,-999999,127,"Vernon Creek",844,"SNTL",2255.8248,39.93667,-112.41478,-999999,1.22222222222222,2017-09-20,0,0,0,0,7.61999999999993,0.0945555555555556,"1"
"127",0.2,-999999,0.174,0.039,-999999,10,-999999,10,10,-999999,128,"Webster Flat",853,"SNTL",2805.0744,37.575,-112.90155,-999999,6.61111111111111,2017-09-20,0,0,0,0,0,0.206714285714286,"10"
"128",0.139,-999999,0.063,0.287,-999999,9.44,-999999,11.67,10.56,-999999,129,"White River #1",864,"SNTL",2633.7768,39.9645,-110.98845,-999999,0.111111111111113,2017-09-20,0,0,2.53999999999995,2.53999999999995,20.32,0.0945555555555556,"1"
"129",0.298,-999999,0.121,0.027,-999999,7.22,-999999,8.89,8.33,-999999,130,"Widtsoe #3",865,"SNTL",2938.272,37.83633,-111.88163,-999999,6.77777777777778,2017-09-20,0,0,0,2.53999999999995,5.07999999999998,0.206714285714286,"10"
"130",0.373,-999999,0.296,0.315,-999999,3.89,-999999,6.67,8.33,-999999,131,"Wrigley Creek",1228,"SNTL",2842.8696,39.13233,-111.35685,-999999,5.5,2017-09-20,0,0,0,0,20.3199999999999,0.28,"12"
"131",0.17,-999999,0.233,0.188,-999999,10.56,-999999,12.22,12.22,-999999,132,"Yankee Reservoir",1197,"SNTL",2649.3216,37.74797,-112.77495,-999999,10.2222222222222,2017-09-20,0,0,0,0,0,0.206714285714286,"10"
"132",0.048,0.054,0.143,0.165,0.166,17.78,18.33,21.11,21.11,21.11,133,"Alkali Mesa",2138,"SCAN",1964.436,37.67455,-109.36429,2.2352,14.2777777777778,2017-09-20,0,0,0,0,0,0.130888888888889,"4"
"133",0.28,0.267,0.196,0.211,0.186,10.56,11.11,15.56,17.78,18.33,134,"Blue Creek",2135,"SCAN",1578.5592,41.93531,-112.4336,1.1176,5.11111111111111,2017-09-20,2.286,9.65199999999997,9.65199999999997,9.65199999999997,11.176,0.181441176470588,"7"
"134",0.151,0.085,0.076,0.078,-999999,10.56,11.67,12.78,14.44,-999999,135,"Buffalo Jump",2151,"SCAN",2036.6736,41.34363,-111.18798,1.922272,2,2017-09-20,6.60399999999999,7.36599999999998,7.36599999999998,7.61999999999997,18.542,0.127142857142857,"3"
"135",0.156,0.214,0.279,0.367,0.39,13.89,16.11,17.22,17.78,18.33,136,"Cache Junction",2136,"SCAN",1348.74,41.81568,-111.98043,0.938784,2,2017-09-20,11.6839999999999,16.002,16.002,16.002,18.5419999999999,0.181441176470588,"7"
"136",0.022,0.058,0.063,0.013,0.006,15,16.11,18.33,18.89,18.89,137,"Cave Valley",2161,"SCAN",1912.0104,37.35524,-113.12341,1.385824,6.11111111111111,2017-09-20,0,0,0,0,0,0.119411764705882,"2"
"137",0.159,0.183,0.125,0.108,0.099,7.22,8.89,9.44,12.22,12.78,138,"Chicken Ridge",2150,"SCAN",2331.4152,41.33136,-111.3036,2.279904,0.38888888888889,2017-09-20,16.2560000000001,19.05,19.05,20.5740000000001,42.164,0.127142857142857,"3"
"138",0.147,0.146,0.079,0.121,0.157,14.44,17.78,17.78,17.22,17.22,139,"Circleville",2125,"SCAN",1865.376,38.15133,-112.25122,3.039872,13.1111111111111,2017-09-20,0,0,0,0,1.27000000000002,0.14975,"5"
"139",0.061,0.09,0.102,0.228,0.203,17.22,18.33,18.89,18.33,18.33,141,"Eastland",2130,"SCAN",2083.9176,37.77853,-109.17193,2.101088,12.5,2017-09-20,0,0,0,0,0,0.130888888888889,"4"
"140",0.078,0.255,0.223,0.145,0.155,16.67,20.56,21.11,20.56,20.56,142,"Enterprise",2128,"SCAN",1600.2,37.63343,-113.64324,1.922272,13.7777777777778,2017-09-20,0,0,0,0,1.27000000000002,0.119411764705882,"2"
"141",0.12,0.272,0.202,0.246,0.252,11.11,15.56,16.11,17.22,17.22,143,"Ephraim",2126,"SCAN",1685.8488,39.36798,-111.57803,0.67056,4.38888888888889,2017-09-20,0,0,0.253999999999995,0.253999999999995,13.208,0.28,"12"
"142",0.213,0.133,0.076,0.066,0.09,18.33,19.44,20.56,21.67,23.33,146,"Green River",2131,"SCAN",1250.5944,39.01825,-110.16264,1.385824,16.2777777777778,2017-09-20,0,0,0,0,11.684,0.130888888888889,"4"
"143",0.045,0.073,0.103,0.16,0.161,9.44,13.33,15.56,16.67,17.78,147,"Grouse Creek",2160,"SCAN",1778.508,41.77846,-113.82048,1.609344,-0.88888888888889,2017-09-20,1.27000000000002,1.27000000000002,1.27000000000002,1.27000000000002,2.032,0.119411764705882,"2"
"144",-999999,0.091,0.094,-999999,0.099,-999999,20,21.67,-999999,21.11,148,"Hals Canyon",2164,"SCAN",1603.248,38.59445,-113.75102,3.3528,12.1111111111111,2017-09-20,0,0,0,0,0.254000000000017,0.119411764705882,"2"
"145",0.075,0.127,0.13,0.134,0.066,15.56,16.67,18.33,17.78,17.78,149,"Harms Way",2166,"SCAN",2150.364,38.31347,-109.23998,2.637536,12.7222222222222,2017-09-20,0,0,0,0,0.253999999999995,0.130888888888889,"4"
"146",0.088,0.097,0.067,0.121,0.127,17.22,17.78,19.44,20.56,22.22,150,"Holden",2127,"SCAN",1446.276,39.19216,-112.40155,1.56464,6.38888888888889,2017-09-20,0,0,0,0.253999999999995,10.668,0.14975,"5"
"147",0.175,0.127,0.176,0.218,0.199,12.78,15,15.56,16.67,17.22,151,"Little Red Fox",2155,"SCAN",1644.396,40.17957,-110.30464,1.296416,8.88888888888889,2017-09-20,0,0,2.286,2.286,9.14399999999999,0.177375,"6"
"148",0.176,0.162,0.141,0.115,0.063,12.78,16.11,16.67,16.67,16.67,152,"Manderfield",2156,"SCAN",1885.188,38.36649,-112.64291,0.715264,9,2017-09-20,0,0,0,0,6.85800000000003,0.14975,"5"
"149",0.119,0.109,0.127,0.173,0.159,17.22,21.11,22.22,22.22,22.78,153,"Mccracken Mesa",2140,"SCAN",1620.012,37.44671,-109.33776,1.1176,15.6111111111111,2017-09-20,0,0,0,0,0.253999999999995,0.130888888888889,"4"
"150",0.215,0.281,0.116,0.3,0.076,16.11,18.33,19.44,19.44,20.56,154,"Milford",2129,"SCAN",1525.524,38.34196,-113.01053,1.877568,9.61111111111111,2017-09-20,0,0,0,0,9.14399999999999,0.119411764705882,"2"
"151",0.2,0.229,0.262,0.296,0.202,11.67,12.78,15.56,17.22,17.22,155,"Morgan",2133,"SCAN",1558.4424,40.9999,-111.68555,0.44704,1.72222222222222,2017-09-20,7.36599999999998,14.2240000000001,14.2240000000001,14.478,24.6380000000001,0.181441176470588,"7"
"152",0.059,0.101,0.14,0.124,0.162,10.56,15,16.67,15.56,16.67,156,"Mountain Home",2134,"SCAN",2111.3496,40.37263,-110.40602,2.2352,6.88888888888889,2017-09-20,0,0,0,0.253999999999995,6.60399999999999,0.177375,"6"
"153",0.222,0.218,0.129,0.073,0.067,16.67,17.22,18.33,19.44,20,157,"Nephi",2137,"SCAN",1598.676,39.64554,-111.87044,0.938784,7.27777777777778,2017-09-20,0,0,0,0,18.288,0.14975,"5"
"154",0.099,0.275,0.126,0.191,0.362,11.67,12.78,12.22,12.78,12.78,158,"Panguitch",2157,"SCAN",1991.5632,37.86975,-112.43437,1.475232,6.5,2017-09-20,0,0,0,0.253999999999995,3.04799999999998,0.14975,"5"
"155",0.017,0.036,0.019,-999999,-999999,11.11,14.44,18.33,19.44,20.56,159,"Park Valley",2153,"SCAN",1553.8704,41.77318,-113.28596,2.101088,-0.499999999999999,2017-09-20,0,0,0,0,2.286,0.119411764705882,"2"
"156",0.06,0.181,0.168,0.189,0.249,15.56,17.78,19.44,20.56,21.11,160,"Price",2132,"SCAN",1718.1576,39.53288,-110.80604,5.900928,11.1111111111111,2017-09-20,0,0,0,0,7.11200000000003,0.130888888888889,"4"
"157",0.047,0.058,0.06,0.021,0.006,24.44,25,26.67,26.11,25.56,161,"Sand Hollow",2159,"SCAN",941.2224,37.10516,-113.35615,3.933952,22.2222222222222,2017-09-20,0,0,0,0,0.253999999999995,0.119411764705882,"2"
"158",0.065,0.104,0.083,0.132,0.162,13.89,16.67,18.33,20.56,21.67,162,"Split Mountain",2154,"SCAN",1476.4512,40.39136,-109.35326,1.251712,9.5,2017-09-20,0,0,0,0.253999999999995,9.398,0.177375,"6"
"159",0.028,0.016,0.02,0.056,0.019,21.11,21.67,23.33,22.22,21.67,163,"Spooky",2158,"SCAN",1627.9368,37.51468,-111.26189,5.543296,19.6111111111111,2017-09-20,0,0,0,0,0.253999999999995,0.130888888888889,"4"
"160",0.098,0.083,0.181,0.118,0.077,15.56,22.22,25,24.44,25,164,"Tule Valley",2163,"SCAN",1399.6416,39.23724,-113.45866,1.78816,9.88888888888889,2017-09-20,0,0,0,0,0.762000000000006,0.119411764705882,"2"
"161",0,0.013,0.023,0.041,0.09,12.22,15,17.22,16.67,16.67,165,"Vermillion",2162,"SCAN",1948.2816,37.19061,-112.19252,1.028192,12.8888888888889,2017-09-20,0,0,0,0,0.25400000000004,0.206714285714286,"10"
"162",0.123,0.142,0.149,0.211,0.194,12.22,14.44,17.78,17.78,17.22,166,"West Summit",2139,"SCAN",2131.4664,38.01394,-109.12745,3.397504,13.1111111111111,2017-09-20,0,0,0,0,0.253999999999995,0.130888888888889,"4"
"163",-999999,-999999,0.07,-999999,-999999,-999999,11.17,13.83,-999999,-999999,197,"Snowville (West)",1138081,"AGWX",1354.2264,41.9838,-112.912,3.308096,9.33333333333333,2017-09-20,0.254,3.302,6.35,6.35,6.35,0.181441176470588,"7"
"164",-999999,-999999,0.18,-999999,-999999,-999999,17.39,16.33,-999999,-999999,198,"Buckhorn",1138098,"AGWX",1773.936,38.0399,-112.712,2.771648,14.1666666666667,2017-09-20,0,0,0,0,0,0.14975,"5"
"165",-999999,-999999,0.29,-999999,-999999,-999999,15.22,17.44,-999999,-999999,199,"LBW SouthFork",1231956,"AGWX",1552.956,41.4967,-111.819,2.816352,11.4444444444444,2017-09-20,0,19.304,30.226,30.226,30.226,0.181441176470588,"7"
"166",-999999,-999999,0.09,-999999,-999999,-999999,13.06,13.72,-999999,-999999,201,"Bear Lake",1233757,"AGWX",1979.9808,41.9336,-111.42,3.442208,8.61111111111111,2017-09-20,0,9.906,17.018,17.018,17.018,0.127142857142857,"3"
"167",-999999,-999999,0.2,-999999,-999999,-999999,15.22,15.39,-999999,-999999,202,"Parowan",1138054,"AGWX",1758.696,37.8623,-112.881,3.486912,14.1666666666667,2017-09-20,0,0,0,0,0,0.206714285714286,"10"
"168",-999999,-999999,0.14,-999999,-999999,-999999,13.67,14.83,-999999,-999999,203,"Drainage Farm",1138089,"AGWX",1351.788,41.763,-111.879,2.324608,10.5,2017-09-20,0,10.16,14.732,14.732,14.732,0.181441176470588,"7"
"169",-999999,-999999,0.09,-999999,-999999,-999999,14.28,15.33,-999999,-999999,204,"Clarkston",1259035,"AGWX",1505.712,41.8957,-112.048,3.084576,9.72222222222222,2017-09-20,0,6.604,8.636,8.636,8.636,0.181441176470588,"7"
"170",-999999,-999999,0.44,-999999,-999999,-999999,14.22,12.94,-999999,-999999,205,"Panguitch",1138099,"AGWX",1996.44,37.8686,-112.422,3.039872,12.0555555555556,2017-09-20,0,0,0,0,0,0.206714285714286,"10"
"171",-999999,-999999,0.05,-999999,-999999,-999999,13.22,13.83,-999999,-999999,206,"Logan Golf",1138088,"AGWX",1465.4784,41.7447,-111.789,3.084576,11.0555555555556,2017-09-20,0,13.462,19.304,19.304,19.304,0.181441176470588,"7"
"172",-999999,-999999,0.1,-999999,-999999,-999999,16.22,15.67,-999999,-999999,207,"Venice",1138097,"AGWX",1598.3712,38.8235,-112,2.2352,13.8333333333333,2017-09-20,0,0,0,0,0.254,0.14975,"5"
"173",-999999,-999999,0.14,-999999,-999999,-999999,10.5,11.11,-999999,-999999,209,"Randolph",1138085,"AGWX",1909.2672,41.8327,-111.088,2.45872,7.11111111111111,2017-09-20,0,12.192,14.478,14.478,14.478,0.127142857142857,"3"
"174",-999999,-999999,0.14,-999999,-999999,-999999,15.78,15.83,-999999,-999999,210,"Corinne",1138092,"AGWX",1291.7424,41.5192,-112.174,2.90576,11.6666666666667,2017-09-20,0,4.318,4.826,4.826,4.826,0.181441176470588,"7"
"175",-999999,-999999,0.35,-999999,-999999,-999999,14.61,14.72,-999999,-999999,211,"Vernal",1265822,"AGWX",1665.4272,40.4584,-109.562,2.056384,13.5,2017-09-20,0,0,0,0,0,0.177375,"6"
"176",-999999,-999999,0.07,-999999,-999999,-999999,16.56,17.89,-999999,-999999,212,"Flowell",1138096,"AGWX",1443.228,38.9571,-112.42,2.637536,14.0555555555556,2017-09-20,0,0,0,0,0,0.14975,"5"
"177",-999999,-999999,0.17,-999999,-999999,-999999,12.78,13.28,-999999,-999999,213,"Blue Creek",1138083,"AGWX",1575.816,41.9622,-112.491,2.771648,9.44444444444444,2017-09-20,0,5.08,9.652,9.652,9.652,0.181441176470588,"7"
"178",-999999,-999999,0.15,-999999,-999999,-999999,13.44,14.28,-999999,-999999,214,"LBW Paradise",1231964,"AGWX",1481.0232,41.5724,-111.855,2.68224,11.7222222222222,2017-09-20,0,17.78,25.146,25.146,25.146,0.181441176470588,"7"
"179",-999999,-999999,0.23,-999999,-999999,-999999,16.28,16.39,-999999,-999999,215,"Murray",1138094,"AGWX",1307.592,40.6313,-111.92,2.324608,15.6111111111111,2017-09-20,0,2.032,2.032,2.032,2.032,0.0945555555555556,"1"
"180",-999999,-999999,0.18,-999999,-999999,-999999,14.28,14.39,-999999,-999999,216,"Bluebell",1265823,"AGWX",1885.4928,40.3726,-110.209,1.1176,11.4444444444444,2017-09-20,0,0,0,1.016,1.016,0.177375,"6"
"181",-999999,-999999,0.09,-999999,-999999,-999999,12.78,14.22,-999999,-999999,217,"Snowville South",1138082,"AGWX",1466.6976,41.8663,-112.725,4.068064,10.8888888888889,2017-09-20,0,1.778,4.064,4.064,4.064,0.181441176470588,"7"
"182",-999999,-999999,0.11,-999999,-999999,-999999,15.39,16,-999999,-999999,218,"Evans Farm",1138090,"AGWX",1382.268,41.6945,-111.833,1.56464,11.2222222222222,2017-09-20,0,8.89,12.446,12.446,12.446,0.181441176470588,"7"
"183",-999999,-999999,0.23,-999999,-999999,-999999,8.67,7.33,-999999,-999999,219,"Hardware Ranch",1138091,"AGWX",1695.9072,41.6012,-111.567,1.78816,7.77777777777778,2017-09-20,0,10.414,14.986,14.986,14.986,0.181441176470588,"7"
"184",-999999,-999999,0.31,-999999,-999999,-999999,16.56,16.28,-999999,-999999,220,"Tremonton",1138087,"AGWX",1320.0888,41.7229,-112.154,2.548128,11,2017-09-20,0,3.556,4.064,4.064,4.064,0.181441176470588,"7"
"185",-999999,-999999,0.19,-999999,-999999,-999999,18.44,19.11,-999999,-999999,221,"Beryl Junction",1138079,"AGWX",1580.9976,37.7196,-113.702,4.872736,17,2017-09-20,0,0,0,0,0,0.119411764705882,"2"
"186",-999999,-999999,0.11,-999999,-999999,-999999,13.28,13.94,-999999,-999999,222,"Lewiston",1138084,"AGWX",1375.8672,41.9521,-111.869,2.68224,10.0555555555556,2017-09-20,0,9.652,15.24,15.24,15.24,0.181441176470588,"7"
"187",-999999,-999999,0.19,-999999,-999999,-999999,15.67,16.44,-999999,-999999,223,"LBW ExpFarm",1231953,"AGWX",1370.9904,41.6662,-111.891,2.2352,10.7777777777778,2017-09-20,0,10.668,18.288,18.288,18.288,0.181441176470588,"7"
"188",-999999,-999999,0.13,-999999,-999999,-999999,-999999,13.44,-999999,-999999,224,"Loa",1265824,"AGWX",2168.9568,38.3834,-111.636,3.442208,13.6111111111111,2017-09-20,0,0,0,0,0,0.192714285714286,"9"
"189",-999999,-999999,0.11,-999999,-999999,-999999,15.78,15,-999999,-999999,225,"Nephi",1138095,"AGWX",1524.6096,39.6894,-111.877,3.442208,13.7777777777778,2017-09-20,0,0,0,0,0,0.0945555555555556,"1"
"190",-999999,-999999,0.38,-999999,-999999,-999999,17.44,0.28,-999999,-999999,226,"Eagle Lake",1231954,"AGWX",1334.1096,41.1668,-112.05,1.832864,13.8888888888889,2017-09-20,0,3.81,4.572,4.572,4.572,0.181441176470588,"7"
"191",-999999,-999999,0.08,-999999,-999999,-999999,16.44,17.33,-999999,-999999,227,"Spanish Fork",1138093,"AGWX",1438.9608,40.0672,-111.629,1.78816,15.8333333333333,2017-09-20,0,0,0,0,0,0.0945555555555556,"1"
"192",-999999,-999999,0.16,-999999,-999999,-999999,14.11,14.78,-999999,-999999,228,"Cedar City",1138078,"AGWX",1685.2392,37.673,-113.137,4.872736,15.9444444444444,2017-09-20,0,0,0,0,0,0.119411764705882,"2"
"193",-999999,-999999,0.22,-999999,-999999,-999999,14.33,14.94,-999999,-999999,229,"Greenville Farm",1150661,"AGWX",1412.748,41.7665,-111.811,1.654048,11.6111111111111,2017-09-20,0,11.176,14.732,14.732,14.732,0.181441176470588,"7"
"194",-999999,-999999,0.41,-999999,-999999,-999999,12.89,14.33,-999999,-999999,230,"EastFork",1231955,"AGWX",1558.1376,41.5355,-111.806,2.816352,11.7777777777778,2017-09-20,0,14.224,22.352,22.352,22.352,0.181441176470588,"7"
"195",-999999,-999999,0.15,-999999,-999999,-999999,12.44,12.78,-999999,-999999,231,"Laketown",1138086,"AGWX",1816.3032,41.8379,-111.334,3.308096,9.27777777777778,2017-09-20,0,4.064,9.652,9.652,9.652,0.127142857142857,"3"
